NAME,LONGITUDE,LATITUDE,PUBLISH,STORYLINE,AR,HIDDEN
t Geleeg,51.09475,4.34779,YES,1,NO,NO
Banaan,51.1076,4.369738,YES,1,NO,NO
Rond punt Colonel Silvertopstraat,51.0868,4.360948,NO,LIVE,NO,NO
Spoorwegbrug,51.08762,4.355594,YES,2,NO,NO
Schorre vijver schiereiland,51.087559,4.380082,YES,2,YES,NO
Rupelbrug,51.085358,4.361079,YES,2,NO,NO
Gloriette,51.096876,4.339401,YES,1,NO,NO
Monkey 1,51.094231,4.345396,YES,MONKEY,NO,YES
Monkey 2,51.101115,4.345691,YES,MONKEY,NO,YES
Monkey 3,51.087370,4.359893,YES,MONKEY,NO,YES
